date,state,number_of_iclaims,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-08,NJ,,6.0,31.0,0.0,,,,,,,,2020-03-08T20:00:00Z,,,37.0,37.0,37.0,34,0.0,0.0,31.0,2.0,33.0,NJ,8882190.0,New Jersey,Trenton,40.220596,-74.769913,2020-03-21,2020-03-09
2020-03-06,NJ,,1.0,,,,,,,,,,2020-03-06T21:00:00Z,,,1.0,1.0,1.0,34,0.0,0.0,0.0,0.0,0.0,NJ,8882190.0,New Jersey,Trenton,40.220596,-74.769913,2020-03-21,2020-03-09
2020-03-05,NJ,,1.0,,,,,,,,,,2020-03-05T21:00:00Z,,,1.0,1.0,1.0,34,,,,,,NJ,8882190.0,New Jersey,Trenton,40.220596,-74.769913,2020-03-21,2020-03-09
2020-03-07,NM,690,0.0,48.0,0.0,,,,,,,,2020-03-07T21:00:00Z,,,48.0,48.0,48.0,35,0.0,0.0,32.0,0.0,32.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-14,NM,869,10.0,237.0,,,,,,,,,2020-03-14T20:00:00Z,,,247.0,247.0,247.0,35,0.0,0.0,47.0,0.0,47.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-21,NM,18105,57.0,3771.0,,,,,,,,,2020-03-21T20:00:00Z,,,3828.0,3828.0,3828.0,35,0.0,0.0,0.0,14.0,14.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-28,NM,27849,191.0,9196.0,,17.0,,,,,,,2020-03-28T20:00:00Z,1.0,,9387.0,9387.0,9387.0,35,0.0,0.0,819.0,55.0,874.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-14,NM,,1345.0,30625.0,,87.0,181.0,,,,,304.0,2020-04-14T20:00:00Z,31.0,181.0,31970.0,31970.0,31970.0,35,5.0,181.0,1355.0,100.0,1455.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-13,NM,,1245.0,29270.0,,80.0,,,,,,295.0,2020-04-13T20:00:00Z,26.0,,30515.0,30515.0,30515.0,35,6.0,0.0,1752.0,71.0,1823.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-12,NM,,1174.0,27518.0,,78.0,,,,18.0,,235.0,2020-04-12T20:00:00Z,20.0,,28692.0,28692.0,28692.0,35,1.0,0.0,1511.0,83.0,1594.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
